work_year,job_title,job_category,,salary_in_usd,employee_residence,Experience_level,employment_type,remote_ratio,company_location,Company size
2023,Data DevOps Engineer,Data Engineering,,95012,Germany,MI,FT,50,Germany,L
2023,Data Architect,Data Architecture and Modeling,,186000,United States,SE,FT,0,United State,M
2023,Data Architect,Data Architecture and Modeling,,81800,United States,SE,FT,0,United State,M
2023,Data Scientist,Data Science and Research,,212000,United States,SE,FT,0,United State,M
2023,Data Scientist,Data Science and Research,,93300,United States,SE,FT,0,United State,M
2023,Data Scientist,Data Science and Research,,130000,United States,SE,FT,0,United State,M
2023,Data Scientist,Data Science and Research,,100000,United States,SE,FT,0,United State,M
2023,Machine Learning Researcher,Machine Learning and AI,,224400,United State,MI,FT,0,United State,M
2023,Machine Learning Researcher,Machine Learning and AI,,138700,United State,MI,FT,0,United State,M
2023,Data Engineer,Data Engineering,,210000,United States,EX,FT,0,United State,M
2023,Data Engineer,Data Engineering,,,United States,EX,FT,0,United State,M
2023,ML Engineer,Machine Learning and AI,,224400,United States,SE,FT,0,United State,M
2023,ML Engineer,Machine Learning and AI,,138700,United States,SE,FT,0,United States,M
2023,Data Scientist,Data Science and Research,,43064,UK ,MI,FT,0,United Kingdom,M
2023,Data Scientist,Data Science and Research,,36912,UK ,MI,FT,0,United Kingdom,M
2023,Data Analyst,Data Analysis,,95000,United States,EN,FT,0,United States,M
2023,Data Analyst,Data Analysis,,75000,United States,EN,FT,0,United States,M
2023,Data Scientist,Data Science and Research,,300000,United States,SE,FT,0,United States,M
2023,Data Scientist,Data Science and Research,,234000,United States,SE,FT,0,United States,M
2023,Analytics Engineer,Leadership and Management,,140000,United States,MI,FT,0,United States,M
2023,Analytics Engineer,Leadership and Management,,120000,United States,MI,FT,0,United States,M
2023,ML Engineer,Machine Learning and AI,,204500,United States,MI,FT,0,United States,M
2023,ML Engineer,Machine Learning and AI,,142200,United States,MI,FT,0,United States,M
2023,Data Analyst,Data Analysis,,155000,United States,MI,FT,0,United States,M
2023,Data Analyst,Data Analysis,,110000,United State,MI,FT,0,United States,M
2023,ML Engineer,Machine Learning and AI,,266500,United States,SE,FT,0,United States,M
2023,ML Engineer,Machine Learning and AI,,152000,United States,SE,FT,0,United States,M
2023,Applied Scientist,Data Science and Research,,222200,United State,MI,FT,0,United States,L
2023,Applied Scientist,Data Science and Research,,136000,United State,MI,FT,0,United States,L
2023,ML Engineer,Machine Learning and AI,,273400,United States,SE,FT,0,United States,M
2023,ML Engineer,Machine Learning and AI,,182200,United States,SE,FT,0,United States,M
2023,BI Developer,BI and Visualization,,167500,United States,SE,FT,0,United States,M
2023,BI Developer,BI and Visualization,,106500,United States,SE,FT,0,United States,M
2023,Data Engineer,Data Engineering,,185900,United States,SE,FT,0,United States,M
2023,Data Engineer,Data Engineering,,129300,United States,SE,FT,0,United States,M
2023,Business Intelligence Engineer,BI and Visualization,,185000,United State,MI,FT,0,United States,L
2023,Business Intelligence Engineer,BI and Visualization,,79600,United State,MI,FT,0,United States,L
2023,Data Engineer,Data Engineering,,122000,United States,SE,FT,0,United States,M
2023,Data Engineer,Data Engineering,,94500,United States,SE,FT,0,United States,M
2023,Data Engineer,Data Engineering,,247300,United States,SE,FT,0,United States,M
2023,Data Engineer,Data Engineering,,139700,United States,SE,FT,0,United States,M
2023,Data Analyst,Data Analysis,,176000,United States,SE,FT,0,United States,M
2023,Data Analyst,Data Analysis,,100000,United States,SE,FT,0,United States,M
2023,ML Engineer,Machine Learning and AI,,204500,United States,SE,FT,0,United States,M
2023,ML Engineer,Machine Learning and AI,,142200,United States,SE,FT,0,United States,M
2023,Research Scientist,Data Science and Research,,247600,United States,SE,FT,0,United States,L
2023,Research Scientist,Data Science and Research,,127300,United States,SE,FT,0,United States,L
2023,Data Scientist,Data Science and Research,,223400,United States,SE,FT,0,United States,M
2023,Data Scientist,Data Science and Research,,186200,United States,SE,FT,0,United States,M
2023,Data Engineer,Data Engineering,,167500,United States,SE,FT,0,US,M
2023,Data Engineer,Data Engineering,,106500,United States,SE,FT,0,US,M
2023,Data Scientist,Data Science and Research,,185900,United States,SE,FT,0,US,M
2023,Data Scientist,Data Science and Research,,129300,United States,SE,FT,0,US,M
2023,Research Analyst,Data Science and Research,,72000,United States,EN,FT,0,US,M
2023,Research Analyst,Data Science and Research,,64000,United States,EN,FT,0,US,M
2023,Analytics Engineer,Leadership and Management,,179820,United States,SE,FT,0,US,M
2023,Analytics Engineer,Leadership and Management,,143860,United States,SE,FT,0,US,M
2023,Research Scientist,Data Science and Research,,283050,United States,SE,FT,0,US,M
2023,Research Scientist,Data Science and Research,,188700,United States,SE,FT,0,US,M
2023,Data Engineer,Data Engineering,,133000,United State,MI,FT,0,US,M
2023,Data Engineer,Data Engineering,,58400,United State,MI,FT,0,US,M
2023,Research Engineer,Data Science and Research,,141298,United States,SE,FT,0,US,M
2023,Research Engineer,Data Science and Research,,115607,United States,SE,FT,0,US,M
2023,Data Analyst,Data Analysis,,100000,United States,EN,FT,0,US,M
2023,ML Engineer,Machine Learning and AI,,266500,Canada,SE,FT,0,Canada,M
2023,ML Engineer,Machine Learning and AI,,144400,Canada,SE,FT,0,Canada,M
2023,Data Engineer,Data Engineering,,71363,United Kingdom,SE,FT,0,UK,M
2023,Data Engineer,Data Engineering,,55368,United Kingdom,SE,FT,0,UK,M
2023,Research Scientist,Data Science and Research,,287500,United States,SE,FT,0,United States,M
2023,Research Scientist,Data Science and Research,,156000,United States,SE,FT,0,United States,M
2023,Data Analyst,Data Analysis,,90000,United State,MI,FT,0,United States,M
2023,Data Analyst,Data Analysis,,70000,United State,MI,FT,0,United States,M
2023,Data Engineer,Data Engineering,,199000,United States,SE,FT,0,United States,M
2023,Data Engineer,Data Engineering,,162000,United States,SE,FT,0,United States,M
2023,Data Engineer,Data Engineering,,170884,United State,MI,FT,0,United States,M
2023,Data Engineer,Data Engineering,,113923,United State,MI,FT,0,United States,M
2023,Data Engineer,Data Engineering,,184000,United State,MI,FT,0,United States,M
2023,Data Engineer,Data Engineering,,123000,United State,MI,FT,0,United States,M
